,time,player,age,round,text
0,2021-04-06 11:18:24,Orange,IV,19,End of game Check the journal to get the final impacts effects : Impact of Competition Impact of Government Impact of Happiness Impact of Wonders Impact of Variety Impact of Balance WINNER IS DAVID LI AS ORANGE (248 PTS) 2nd is Micah Yospe as Purple (188 pts) 3rd is teddy yeh as Grey (172 pts) 4th is X L as Green (151 pts)
1,2021-04-06 11:18:24,Grey,IV,19,"Impact of Balance Each civilization scores culture equal to double the amount of whatever it produces the least (science, culture, food, or resource). Ignore corruption and consumption. Orange scores 8 culture Purple scores 8 culture Green scores 6 culture Grey scores 8 culture"
2,2021-04-06 11:18:20,Grey,IV,19,"Impact of Variety Each civilization scores 2 culture for each type of unit, urban building and special (blue) technology. Orange scores 20 culture Purple scores 20 culture Green scores 16 culture Grey scores 8 culture"
3,2021-04-06 11:18:18,Grey,IV,19,Impact of Wonders Each civilization scores culture for each wonders: 5 for age A 4 for age I 3 for age II 2 for age III Orange scores 15 culture Purple scores 5 culture Green scores 9 culture Grey scores 14 culture
4,2021-04-06 11:18:15,Grey,IV,19,Impact of Happiness Each civilization scores 2 culture per happy face (no more than 16 points) and loses 2 culture per discontent worker. Orange scores 16 culture Purple scores 10 culture Green scores 2 culture Grey scores 10 culture
5,2021-04-06 11:18:14,Grey,IV,19,Impact of Government Each civilization scores 2 culture per civil action and 1 culture per military action. Orange scores 21 culture Purple scores 19 culture Green scores 20 culture Grey scores 17 culture
6,2021-04-06 11:18:12,Grey,IV,19,Impact of Competition Each civilization scores 1 culture per level of each of its military units and arenas. Orange scores 8 culture Purple scores 9 culture Green scores 8 culture Grey scores 12 culture
7,2021-04-06 11:18:11,Grey,IV,19,End turn Grey scores: 6 culture (now 103) 6 science (now 11) 1 food - consumption: 3 (now 1) 11 resources (now 13)
8,2021-04-06 11:18:11,Grey,IV,18,End turn Grey scores: 6 culture (now 103) 6 science (now 11) 1 food - consumption: 3 (now 1) 11 resources (now 13)
9,2021-04-06 11:18:07,Grey,IV,18,No Discard Phase
10,2021-04-06 11:17:58,Grey,IV,18,Grey plays Engineering Genius Grey builds 1 stage of Fast Food Chains Wonder completed Grey scores 16 culture
11,2021-04-06 11:17:46,Grey,IV,18,Grey builds Warrior Grey spends 2 resources
12,2021-04-06 11:17:31,Grey,IV,18,Grey builds Modern Infantry Grey spends 7 resources
13,2021-04-06 11:17:20,Grey,IV,18,Grey builds 1 stage of Fast Food Chains Grey spends 4 resources
14,2021-04-06 11:17:12,Grey,IV,18,Grey builds 1 stage of Fast Food Chains Grey spends 4 resources
15,2021-04-06 11:17:04,Grey,IV,18,Grey builds 1 stage of Fast Food Chains Grey spends 4 resources
16,2021-04-06 11:16:56,Grey,IV,18,Grey plays Endowment for the Arts Grey scores 6 culture
17,2021-04-06 11:16:47,Grey,IV,18,Grey increases population Grey spends 5 food
18,2021-04-06 11:16:42,Grey,IV,18,Grey discovers Movies Grey loses 10 science
19,2021-04-06 11:16:22,Grey,IV,18,Grey plays event Grey scores 3 culture Future events are now current events. Current event: III / Impact of Science Each civilizations score culture according to the relative amount of science it produces: 15/10/5/0 for 4-player 14/7/0 for 3-player 10/0 for 2-player Orange scores 10 culture Purple scores 5 culture Green scores 15 culture
20,2021-04-06 10:15:07,Green,IV,18,End turn Green scores: 12 culture (now 75) 15 science (now 20) 1 food - consumption: 2 (now 2) 10 resources (now 12)
21,2021-04-06 10:15:06,Green,IV,18,No Discard Phase
22,2021-04-06 10:13:51,Green,IV,18,Green disbands Cannon
23,2021-04-06 10:13:07,Green,IV,18,Green builds Multimedia Green spends 11 resources
24,2021-04-06 10:12:59,Green,IV,18,Green destroys Iron
25,2021-04-06 10:12:41,Green,IV,18,Green builds Multimedia using Urban Growth Green spends 7 resources
26,2021-04-06 10:12:20,Green,IV,18,Green disbands Riflemen
27,2021-04-06 10:12:02,Green,IV,18,Green builds Air Forces Green loses 4 military resource Green spends 3 resources
28,2021-04-06 10:11:53,Green,IV,18,Green discovers Air Forces Green loses 12 science
29,2021-04-06 10:11:41,Green,IV,18,Green plays Revolutionary Idea Green gets 6 science
30,2021-04-06 10:11:21,Green,IV,18,Green plays Patriotism Green gets 4 military resource Green gets 1 military action
31,2021-04-06 10:11:03,Green,IV,18,Green plays Reserves Green produces 4 resources
32,2021-04-06 10:10:48,Green,IV,18,Green disbands Knights
33,2021-04-06 10:09:55,Green,IV,18,Green plays event Green scores 3 culture Current event: II / Popularization of Science Each civilization scores culture equal to the amount of science it produces. Orange scores 14 culture Purple scores 13 culture Green scores 9 culture Grey scores 6 culture
34,2021-04-06 10:08:13,Purple,IV,18,End turn Purple scores: 11 culture (now 99) 13 science (now 16) 1 food - consumption: 3 (now 3) 4 resources (now 4)
35,2021-04-06 10:08:11,Purple,IV,18,No Discard Phase
36,2021-04-06 10:07:50,Purple,IV,18,Purple discovers Rockets Purple loses 8 science
37,2021-04-06 10:07:34,Purple,IV,18,Purple discovers Military Theory Purple loses 11 science
38,2021-04-06 10:06:47,Purple,IV,18,Purple builds Opera Purple spends 7 resources
39,2021-04-06 10:06:37,Purple,IV,18,Purple destroys Iron
40,2021-04-06 10:06:26,Purple,IV,18,Purple takes Rockets in hand Purple uses 1 civil action
41,2021-04-06 10:06:24,Purple,IV,18,Purple takes Military Theory in hand Purple uses 1 civil action
42,2021-04-06 10:05:48,Purple,IV,18,Purple passes Political Phase
43,2021-04-06 09:48:32,Orange,IV,18,End turn Orange scores: 18 culture (now 136) 14 science (now 14) 1 food - consumption: 3 (now 4) 4 resources (now 4)
44,2021-04-06 09:48:30,Orange,IV,18,No Discard Phase
45,2021-04-06 09:48:05,Orange,IV,18,Orange builds Journalism Orange spends 6 resources
46,2021-04-06 09:48:00,Orange,IV,18,Orange destroys Iron
47,2021-04-06 09:47:32,Orange,IV,18,Orange takes Reserves in hand Orange uses 1 civil action
48,2021-04-06 09:47:29,Orange,IV,18,Orange takes Computers in hand Orange uses 1 civil action
49,2021-04-06 09:47:21,Orange,IV,18,Orange upgrades Religion to Organized Religion Orange spends 2 resources
50,2021-04-06 09:47:13,Orange,IV,18,Orange builds Movies Orange spends 8 resources
51,2021-04-06 09:47:05,Orange,IV,18,Orange discovers Movies Orange loses 10 science
52,2021-04-06 09:46:57,Orange,IV,18,Orange increases population Ocean Liner Service used
53,2021-04-06 09:46:53,Orange,IV,18,Orange discovers Engineering Orange loses 9 science
54,2021-04-06 09:46:36,Orange,IV,18,Orange passes Political Phase
55,2021-04-06 09:45:16,Orange,IV,18,Last turn Game ends at the end of the starting round
56,2021-04-06 09:45:16,Grey,IV,18,Last turn Game ends at the end of the starting round
57,2021-04-06 09:45:16,Grey,IV,17,End turn Grey scores: 6 culture (now 66) 6 science (now 15) 1 food - consumption: 3 (now 5) 11 resources (now 23)
58,2021-04-06 09:45:15,Grey,IV,17,Grey discards 3 cards
59,2021-04-06 09:44:51,Grey,IV,17,Discard Phase 3 military cards must be discarded
60,2021-04-06 09:44:28,Grey,IV,17,Grey elects Mahatma Gandhi
61,2021-04-06 09:44:19,Grey,IV,17,Grey takes Fast Food Chains in hand Grey uses 5 civil action
62,2021-04-06 09:44:14,Grey,IV,17,Grey takes Engineering Genius in hand Grey uses 1 civil action
63,2021-04-06 09:42:27,Grey,IV,17,Grey plays event Grey scores 3 culture Current event: II / Iconoclasm Each civilization with a leader that is not from the current age must remove that leader from play. Bill Gates dies Orange scores 6 culture Albert Einstein dies Charles Chaplin dies
64,2021-04-06 09:37:05,Green,IV,17,End turn Green scores: 6 culture (now 51) 9 science (now 11) 1 food - consumption: 2 (now 1) 12 resources (now 19)
65,2021-04-06 09:37:04,Green,IV,17,No Discard Phase
66,2021-04-06 09:32:28,Green,IV,17,Green elects Charles Chaplin
67,2021-04-06 09:32:18,Green,IV,17,Green takes Charles Chaplin in hand Green uses 1 civil action
68,2021-04-06 09:32:07,Green,IV,17,Green builds Multimedia Green spends 11 resources
69,2021-04-06 09:31:58,Green,IV,17,Green takes Reserves in hand Green uses 1 civil action
70,2021-04-06 09:31:51,Green,IV,17,Green takes Urban Growth in hand Green uses 1 civil action
71,2021-04-06 09:31:45,Green,IV,17,Green discovers Multimedia Green loses 9 science
72,2021-04-06 09:31:35,Green,IV,17,Green increases population Green spends 4 food
73,2021-04-06 09:30:45,Grey,IV,17,Grey accepts pact offer
74,2021-04-06 09:30:09,Green,IV,17,Green proposes Peace Treaty to Grey Green is A Grey is B The two civilizations cannot attack each other. Each civilization produces 1 extra culture.
75,2021-04-06 09:25:44,Green,IV,17,Green wins War over Culture Attacker's strength: 37 Defender's strength: 27
76,2021-04-06 09:25:43,Purple,III,17,End turn Purple scores: 8 culture (now 88) 16 science (now 22) 2 food - consumption: 3 (now 2) 6 resources (now 7) Purple draws 3 military cards
77,2021-04-06 09:25:41,Purple,III,17,Purple discards 3 cards
78,2021-04-06 09:25:30,Purple,III,17,Discard Phase 3 military cards must be discarded
79,2021-04-06 09:24:08,Purple,III,17,Purple takes Modern Infantry in hand Purple uses 1 civil action
80,2021-04-06 09:24:05,Purple,III,17,Purple takes Mechanized Agriculture in hand Purple uses 2 civil action
81,2021-04-06 09:23:45,Purple,III,17,Purple builds Air Forces Purple spends 7 resources
82,2021-04-06 09:23:38,Purple,III,17,Purple discovers Air Forces Purple loses 12 science Purple scores 3 culture
