,player,worker,resources,time,age,round,game_id,text
0,Grey,M,8,2020-03-28 19:22:41,IV,22,7472433,Grey builds Mechanized Agriculture#Grey spends 8 resources #
1,Purple,P,3,2020-03-28 19:20:08,IV,22,7472433,Purple builds Printing Press#Purple spends 3 resources #
2,Purple,1,4,2020-03-28 19:19:20,IV,22,7472433,Purple builds 1 stage of Fast Food Chains#Purple spends 4 resources Wonder completed Purple scores 17 culture #
3,Purple,3,12,2020-03-28 19:19:14,IV,22,7472433,Purple builds 3 stages of Fast Food Chains#Purple spends 12 resources #
4,Orange,T,7,2020-03-28 19:17:06,IV,22,7472433,Orange builds Tanks#Orange spends 7 resources #
5,Grey,R,3,2020-03-28 19:13:50,IV,21,7472433,Grey builds Religion#Grey spends 3 resources #
6,Grey,3,16,2020-03-28 19:13:23,IV,21,7472433,Grey builds 3 stages of First Space Flight#Grey spends 16 resources Wonder completed Grey scores 27 culture #
7,Grey,R,3,2020-03-28 19:13:07,IV,21,7472433,Grey builds Religion#Grey spends 3 resources #
8,Green,J,6,2020-03-28 19:11:41,IV,21,7472433,Green builds Journalism#Green spends 6 resources #
9,Orange,P,3,2020-03-28 19:04:48,III,21,7472433,Orange builds Philosophy#Orange spends 3 resources #
10,Orange,R,3,2020-03-28 19:03:46,III,21,7472433,Orange builds Religion#Orange spends 3 resources #
11,Grey,2,11,2020-03-28 19:01:47,III,20,7472433,Grey builds 2 stages of Hollywood#Grey spends 11 resources Wonder completed Grey scores 12 culture #
12,Green,D,4,2020-03-28 18:59:14,III,20,7472433,Green builds Drama#Green spends 4 resources #
13,Orange,B,2,2020-03-28 18:52:31,III,20,7472433,Orange builds Bronze#Orange spends 2 resources #
14,Green,J,6,2020-03-28 18:47:15,III,19,7472433,Green builds Journalism#Green spends 6 resources #
15,Grey,S,2,2020-03-28 18:37:25,III,18,7472433,Grey builds Scientific Method using Ideal Building Site #Grey spends 2 resources #
16,Grey,O,3,2020-03-28 18:36:28,III,18,7472433,Grey builds Opera using Ideal Building Site #Grey spends 3 resources #
17,Green,J,6,2020-03-28 18:35:25,III,18,7472433,Green builds Journalism#Green spends 6 resources #
18,Orange,R,3,2020-03-28 18:29:55,III,18,7472433,Orange builds Religion#Orange spends 3 resources #
19,Green,J,8,2020-03-28 18:24:39,III,17,7472433,Green builds Journalism#Green spends 8 resources #
20,Purple,P,4,2020-03-28 18:22:23,III,17,7472433,Purple builds Printing Press#Purple spends 4 resources #
21,Grey,O,4,2020-03-28 18:11:22,III,16,7472433,Grey builds Opera using Ideal Building Site #Grey spends 4 resources #
22,Green,B,2,2020-03-28 18:08:16,III,16,7472433,Green builds Bronze#Green spends 2 resources #
23,Green,P,3,2020-03-28 18:08:10,III,16,7472433,Green builds Philosophy#Green spends 3 resources #
24,Purple,P,4,2020-03-28 18:04:37,III,16,7472433,Purple builds Printing Press#Purple spends 4 resources #
25,Purple,A,2,2020-03-28 16:39:52,III,15,7472433,Purple builds Agriculture#Purple spends 2 resources #
26,Grey,1,5,2020-03-28 16:31:01,III,14,7472433,Grey builds 1 stage of Transcontinental Railroad#Grey spends 5 resources Wonder completed #
27,Grey,1,3,2020-03-28 16:30:35,III,14,7472433,Grey builds 1 stage of Transcontinental Railroad#Grey spends 3 resources #
28,Purple,1,4,2020-03-28 16:24:06,II,14,7472433,Purple builds 1 stage of St. Peter's Basilica#Purple spends 4 resources Wonder completed #
29,Purple,1,4,2020-03-28 16:24:01,II,14,7472433,Purple builds 1 stage of St. Peter's Basilica#Purple spends 4 resources #
30,Orange,D,4,2020-03-28 16:22:02,II,14,7472433,Orange builds Drama#Orange spends 4 resources #
