,player,unit,time,age,round,game_id,text
0,Orange,Warrior,2020-03-28 16:00:51,II,13,7472433,Orange disbands Warrior##
1,Orange,Warrior,2020-04-22 14:50:11,III,18,7473814,Orange disbands Warrior##
2,Green,Warrior,2020-04-18 14:03:10,II,11,7473814,Green disbands Warrior##
3,Orange,Swordsmen,2020-04-29 11:23:24,IV,18,7474472,Orange disbands Swordsmen##
4,Green,Warrior,2020-04-28 11:31:02,III,14,7474472,Green disbands Warrior##
5,Grey,Swordsmen,2020-05-04 22:13:35,IV,17,7474996,Grey disbands Swordsmen##
6,Orange,Warrior,2020-05-02 15:57:23,II,11,7474996,Orange disbands Warrior##
7,Green,Riflemen,2020-05-16 14:09:19,IV,17,7475368,Green disbands Riflemen##
8,Purple,Air Forces,2020-05-16 13:48:15,IV,17,7475368,Purple disbands Air Forces##
9,Grey,Warrior,2020-05-15 20:14:16,III,14,7475368,Grey disbands Warrior##
10,Purple,Warrior,2020-05-14 22:07:11,II,12,7475368,Purple disbands Warrior##
11,Grey,Warrior,2020-05-12 15:57:10,I,7,7475368,Grey disbands Warrior##
12,Green,Swordsmen,2020-05-11 18:23:01,IV,18,7475369,Green disbands Swordsmen##
13,Orange,Warrior,2020-05-11 17:12:33,IV,18,7475369,Orange disbands Warrior##
14,Orange,Warrior,2020-05-11 13:56:10,III,16,7475369,Orange disbands Warrior##
15,Green,Swordsmen,2020-05-11 12:16:36,III,13,7475369,Green disbands Swordsmen##
16,Green,Swordsmen,2020-05-27 13:15:15,IV,18,7476107,Green disbands Swordsmen##
17,Green,Swordsmen,2020-05-27 12:11:50,III,17,7476107,Green disbands Swordsmen##
18,Purple,Warrior,2020-05-27 12:05:41,III,17,7476107,Purple disbands Warrior##
19,Purple,Warrior,2020-05-27 12:02:56,III,17,7476107,Purple disbands Warrior##
20,Purple,Warrior,2020-05-27 10:17:24,III,16,7476107,Purple disbands Warrior##
21,Grey,Swordsmen,2020-05-27 07:30:10,III,15,7476107,Grey disbands Swordsmen##
22,Green,Knights,2020-05-29 14:27:59,III,14,7476793,Green disbands Knights##
23,Grey,Warrior,2020-05-29 12:34:57,III,12,7476793,Grey disbands Warrior##
24,Grey,Warrior,2020-05-29 11:21:00,II,11,7476793,Grey disbands Warrior##
25,Grey,Warrior,2020-05-29 11:20:56,II,11,7476793,Grey disbands Warrior##
26,Grey,Warrior,2020-05-29 11:20:49,II,11,7476793,Grey disbands Warrior##
27,Grey,Swordsmen,2020-06-01 20:37:19,II,12,7476918,Grey disbands Swordsmen##
28,Green,Warrior,2020-06-09 11:42:31,IV,17,7477255,Green disbands Warrior##
29,Purple,Warrior,2020-06-09 11:30:26,IV,17,7477255,Purple disbands Warrior##
30,Green,Warrior,2020-06-07 22:15:45,II,9,7477255,Green disbands Warrior##
