,player,event_age,time,age,round,game_id,text
0,Grey,3,2020-03-28 18:47:41,III,19,7472433,Grey plays event#Grey scores 3 culture Future events are now current events. Current event: III / Impact of Architecture Each civilization scores 1 culture per level of its urban buildings. Orange scores 8 culture Purple scores 7 culture Green scores 8 culture Grey scores 13 culture #
1,Green,3,2020-03-28 18:45:21,III,19,7472433,Green plays event#Green scores 3 culture Current event: III / Impact of Strength Score culture according to strength: 15/10/5/0 for 4-player 14/7/0 for 3-player 10/0 for 2-player Orange scores 5 culture Purple scores 10 culture Green scores 0 culture Grey scores 15 culture #
2,Grey,3,2020-03-28 18:35:45,III,18,7472433,Grey plays event#Grey scores 3 culture Current event: III / Impact of Colonies Each civilization scores 4 culture per colony. Orange scores 16 culture Purple scores 4 culture Green scores 4 culture Grey scores 12 culture #
3,Orange,3,2020-03-28 18:28:08,III,18,7472433,Orange plays event#Orange scores 3 culture Current event: III / Impact of Government Each civilization scores 2 culture per civil action and 1 culture per military action. Orange scores 11 culture Purple scores 10 culture Green scores 13 culture Grey scores 18 culture #
4,Grey,3,2020-03-28 18:25:40,III,17,7472433,Grey plays event#Grey scores 3 culture Current event: III / Impact of Technology Each civilization scores 4 culture for each of its level III technologies (level II in Advanced game). Orange scores 0 culture Purple scores 0 culture Green scores 0 culture Grey scores 0 culture #
5,Purple,3,2020-03-28 18:20:43,III,17,7472433,Purple plays event#Purple scores 3 culture Current event: II / National Pride The civilization with the most culture points scores 5 culture. Green scores 5 culture #
6,Orange,3,2020-03-28 18:12:24,III,17,7472433,Orange plays event#Orange scores 3 culture Future events are now current events. Current event: II / Fertile Territory 5 food #
7,Grey,3,2020-03-28 18:08:48,III,16,7472433,Grey plays event#Grey scores 3 culture Current event: II / Developed Territory 5 science #
8,Green,3,2020-03-28 18:06:29,III,16,7472433,Green plays event#Green scores 3 culture Current event: II / Popularization of Science Each civilization scores culture equal to its science rating. Orange scores 2 culture Purple scores 2 culture Green scores 2 culture Grey scores 4 culture #
9,Purple,3,2020-03-28 18:01:53,III,16,7472433,Purple plays event#Purple scores 3 culture Current event: II / Economic Progress Each player's mines and farms produce immediately. Do not ignore consumption and corruption. Orange produces : 1 food - consumption: 2 Orange produces : 4 resources Purple produces : 0 food - consumption: 3 Purple produces : 5 resources - corruption: 2 Green produces : 2 food - consumption: 3 Green produces : 5 resources Grey produces : 2 food - consumption: 2 Grey produces : 4 resources #
10,Orange,3,2020-03-28 16:55:55,III,16,7472433,Orange plays event#Orange scores 3 culture Current event: II / Strategic Territory 5 military cards #
11,Green,2,2020-03-28 16:41:07,III,15,7472433,Green plays event#Green scores 2 culture Current event: II / Historic Territory 11 culture #
12,Grey,2,2020-03-28 16:28:56,III,14,7472433,Grey plays event#Grey scores 2 culture Future events are now current events. Current event: II / Iconoclasm Discard all leaders that are not from the current age. Johannes Sebastian Bach dies Maximillien Robespierre dies Isaac Newton dies #
13,Orange,2,2020-03-28 16:14:43,II,14,7472433,Orange plays event#Orange scores 2 culture Current event: II / Inhabited Territory 2 population #
14,Grey,2,2020-03-28 16:11:44,II,13,7472433,Grey plays event#Grey scores 2 culture Current event: II / Civil Unrest Each civilization loses 4 culture per discontent worker. Event has no effect #
15,Green,2,2020-03-28 16:04:36,II,13,7472433,Green plays event#Green scores 2 culture Current event: II / Ravages of Time Each player chooses one of their Age A or I wonders and turns it face down. These wonders lose all effect and produce 2 culture instead. Orange must choose a wonder to ravage The Pyramids crumble The Hanging Gardens crumbles #
16,Orange,2,2020-03-28 15:54:11,II,13,7472433,"Orange plays event#Orange scores 2 culture Current event: II / Emigration Each civilization loses half of its discontent workers, rounded up (return to yellow bank). Purple loses 1 population #"
17,Grey,2,2020-03-28 15:49:59,II,12,7472433,Grey plays event#Grey scores 2 culture Current event: II / Independence Declaration The weakest civilization loses 1 colony (owner's choice). Developed Territory declares its independence from Purple #
18,Orange,2,2020-03-28 15:33:34,II,12,7472433,Orange plays event#Orange scores 2 culture Future events are now current events. Current event: II / Crime Wave The two weakest civilizations lose 3 culture and 1 blue token. Purple loses 3 culture and 1 blue token Grey loses 3 culture and 1 blue token #
19,Grey,2,2020-03-28 15:29:48,II,11,7472433,Grey plays event#Grey scores 2 culture Current event: II / Cold War The two strongest civilizations score 6 science. Orange scores 6 science Green scores 6 science #
20,Green,2,2020-03-28 15:26:04,II,11,7472433,Green plays event#Green scores 2 culture Current event: I / Rats Each civilization loses all stored food. Orange loses 4 food. Purple loses 1 food. Green loses 5 food. Grey loses 2 food. #
21,Purple,2,2020-03-28 15:22:51,II,11,7472433,Purple plays event#Purple scores 2 culture Current event: I / Barbarians If the civilization with the most culture points is one of the two weakest civilizations it loses 1 population. No effect#
22,Orange,2,2020-03-28 15:19:02,II,11,7472433,Orange plays event#Orange scores 2 culture Current event: I / Scientific Breakthrough Each civilization immediately scores science equal to its science rating. Orange scores 3 science Purple scores 1 science Green scores 1 science Grey scores 5 science #
23,Grey,2,2020-03-28 15:16:37,II,10,7472433,Grey plays event#Grey scores 2 culture Current event: I / Foray The two strongest civilizations each produce a total of 3 resources/food. Orange and Green each produce 3 resources and/or food Green chooses first #
24,Green,2,2020-03-28 15:11:13,II,10,7472433,Green plays event#Green scores 2 culture Future events are now current events. Current event: I / New Deposits Each player's mines produce immediately. Ignore corruption. Orange produces 2 resources Purple produces 3 resources Green produces 3 resources Grey produces 3 resources #
25,Orange,2,2020-03-28 15:04:20,II,10,7472433,Orange plays event#Orange scores 2 culture Current event: I / Uncertain Borders The weakest civilization gives one yellow token from its yellow bank to the strongest civilization's yellow bank. Orange takes 1 yellow token from Purple #
26,Orange,1,2020-03-28 14:53:41,II,9,7472433,Orange plays event#Orange scores 1 culture Current event: I / Rebellion Each player loses 2 civil actions per discontent worker (on their next turn). Green loses 2 civil actions on his next turn #
27,Green,1,2020-03-28 14:46:35,I,8,7472433,Green plays event#Green scores 1 culture Current event: I / Immigration Civilization(s) with most happy faces increase population by 1. Orange receives a new immigrant Grey receives a new immigrant #
28,Green,1,2020-03-28 14:28:37,I,7,7472433,Green plays event#Green scores 1 culture Current event: I / Wealthy Territory 5 resources #
29,Purple,1,2020-03-28 14:23:24,I,7,7472433,Purple plays event#Purple scores 1 culture Current event: I / Good Harvest Each player's farms produce immediately. Ignore consumption and corruption. Orange produces 3 food Purple produces 4 food Green produces 3 food Grey produces 2 food #
30,Grey,1,2020-03-28 14:10:50,I,6,7472433,Grey plays event#Grey scores 1 culture Future events are now current events. Current event: I / Historic Territory 6 culture #
31,Orange,1,2020-03-28 13:57:33,I,6,7472433,"Orange plays event#Orange scores 1 culture Current event: I / Border Conflict The weakest civilization loses 1 urban building, farm, or mine. The strongest produces 3 resources. Orange produces 3 resources Grey must destroy a mine, farm or urban building #"
32,Grey,1,2020-03-28 13:51:17,I,5,7472433,Grey plays event#Grey scores 1 culture Current event: I / Developed Territory 3 science #
33,Green,1,2020-03-28 13:42:01,I,5,7472433,Green plays event#Green scores 1 culture Current event: I / Strategic Territory 3 military cards #
34,Grey,1,2020-03-28 13:29:10,I,4,7472433,Grey plays event#Grey scores 1 culture Current event: I / Raiders The two weakest civilizations each lose a total of 2 resources and/or food. Green and Grey each lose 2 resources and/or food Green chooses first #
35,Green,1,2020-03-28 13:25:16,I,4,7472433,Green plays event#Green scores 1 culture Current event: I / Crusades The strongest civilization scores 4 culture. The weakest loses 4 culture. Orange scores 4 culture Grey loses 2 culture #
36,Purple,1,2020-03-28 13:21:47,I,4,7472433,Purple plays event#Purple scores 1 culture Future events are now current events. Current event: A / Development of Science Each civilization scores 2 science. #
37,Orange,1,2020-03-28 13:18:06,I,4,7472433,Orange plays event#Orange scores 1 culture Current event: A / No Event #
38,Grey,1,2020-03-28 13:12:22,I,3,7472433,Grey plays event#Grey scores 1 culture Current event: A / Development of Markets Each civilization produces 2 resources or 2 food (player's choice). #
39,Green,1,2020-03-28 13:08:14,I,3,7472433,Green plays event#Green scores 1 culture Current event: A / Development of Politics Each player draws 3 military cards. Active player does not discard military cards this round. Orange draws 3 military cards Purple draws 3 military cards Green draws 3 military cards Grey draws 3 military cards #
40,Purple,1,2020-03-28 13:03:39,I,3,7472433,Purple plays event#Purple scores 1 culture Current event: A / Development of Warfare Each player with an unused worker may immediately build a Warrior unit for free. #
41,Orange,1,2020-03-28 12:56:35,I,3,7472433,Orange plays event#Orange scores 1 culture Current event: A / Development of Religion Each player with an unused worker may immediately build an Age A temple for free. #
42,Green,3,2020-04-09 10:06:56,IV,20,7472434,Green plays event#Green scores 3 culture Future events are now current events. Current event: II / Wealthy Territory 8 resources #
43,Purple,3,2020-04-09 10:01:15,IV,20,7472434,Purple plays event#Purple scores 3 culture Current event: II / Economic Progress Each player's mines and farms produce immediately. Do not ignore consumption and corruption. Orange produces : 1 food - consumption: 3 Orange produces : 7 resources Purple produces : 3 food - consumption: 4 Purple produces : 4 resources - corruption: 4 Green produces : 3 food - consumption: 1 Green produces : -3 resources - corruption: 6 Grey produces : 2 food - consumption: 3 Grey produces : 7 resources #
44,Green,3,2020-04-08 21:35:10,III,19,7472434,Green plays event#Green scores 3 culture Current event: II / Crime Wave The two weakest civilizations lose 3 culture and 1 blue token. Grey loses 3 culture and 1 blue token Purple loses 3 culture and 1 blue token #
45,Grey,3,2020-04-08 18:25:14,III,17,7472434,Grey plays event#Grey scores 3 culture Current event: II / Fertile Territory 5 food #
46,Orange,2,2020-04-08 14:04:06,III,17,7472434,Orange plays event#Orange scores 2 culture Current event: I / Strategic Territory 3 military cards #
47,Grey,3,2020-04-07 23:03:21,III,15,7472434,Grey plays event#Grey scores 3 culture Current event: I / Inhabited Territory 1 population #
48,Orange,2,2020-04-07 17:44:32,III,15,7472434,Orange plays event#Orange scores 2 culture Future events are now current events. Current event: II / Popularization of Science Each civilization scores culture equal to its science rating. Orange scores 6 culture Purple scores 3 culture Green scores 3 culture Grey scores 6 culture #
49,Grey,2,2020-04-07 16:56:35,III,14,7472434,Grey plays event#Grey scores 2 culture Current event: II / International Agreement The strongest civilization may immediately take up to 5 civil actions in cards by giving up its next political action. Then replenish the cards in the card row. #
50,Green,2,2020-04-07 16:06:08,II,14,7472434,Green plays event#Green scores 2 culture Current event: II / Strategic Territory 5 military cards #
51,Grey,2,2020-04-07 13:46:05,II,12,7472434,Grey plays event#Grey scores 2 culture Current event: II / National Pride The civilization with the most culture points scores 5 culture. Purple scores 5 culture #
52,Grey,1,2020-04-07 11:35:09,II,11,7472434,Grey plays event#Grey scores 1 culture Current event: II / Terrorism The civilization with the fewest culture points destroys 1 urban building of each other civilization. Green launches terrorist attacks #
53,Green,1,2020-04-07 11:26:20,II,11,7472434,Green plays event#Green scores 1 culture Current event: II / Independence Declaration The weakest civilization loses 1 colony (owner's choice). No effect: Grey has no colony #
