,game_name,time,age,round,game_id,text
0,not hump day,2020-03-28 12:03:44,A,1,7472433,Game not hump day created.##
1,not hump day,2020-03-28 12:04:02,A,1,7472434,Game not hump day created.##
2,This Means War is Peace,2020-04-06 20:07:21,A,1,7473200,Game This Means War is Peace created.##
3,🐪 day,2020-04-09 11:08:12,A,1,7473404,Game 🐪 day created.##
4,🐪 day - Part Deux,2020-04-14 18:27:35,A,1,7473814,Game 🐪 day - Part Deux created.##
5,🐪 day - Part Deux (2),2020-04-22 22:48:55,A,1,7474472,Game 🐪 day - Part Deux (2) created.##
6,🐪 day - Part Deux (Garbage),2020-04-29 17:54:41,A,1,7474996,Game 🐪 day - Part Deux (Garbage) created.##
7,🐪 day - Part Deux (Garbage too),2020-05-05 10:11:53,A,1,7475368,Game 🐪 day - Part Deux (Garbage too) created.##
8,🐪 day - Part Trois?,2020-05-05 10:12:42,A,1,7475369,Game 🐪 day - Part Trois? created.##
9,🐪 day - Redux,2020-05-16 21:58:00,A,1,7476107,Game 🐪 day - Redux created.##
10,🐪 day - Revenge,2020-05-27 14:09:34,A,1,7476793,Game 🐪 day - Revenge created.##
11,🐪 day - Take Down David,2020-05-29 18:23:20,A,1,7476918,Game 🐪 day - Take Down David created.##
12,🐪 day - Don't be dumb,2020-06-03 12:48:17,A,1,7477184,Game 🐪 day - Don't be dumb created.##
13,🐪 day - Just Have Fun,2020-06-04 16:59:56,A,1,7477255,Game 🐪 day - Just Have Fun created.##
14,🐪 day - Learn from Mistakes,2020-06-09 12:29:48,A,1,7477545,Game 🐪 day - Learn from Mistakes created.##
15,🐪 day - Everyone Is Moses,2020-06-15 13:40:02,A,1,7477831,Game 🐪 day - Everyone Is Moses created.##
16,🐪 day - Back to the Future,2020-06-17 12:01:00,A,1,7477939,Game 🐪 day - Back to the Future created.##
17,🐪 day - Tiebreaker,2020-06-21 22:15:27,A,1,7478150,Game 🐪 day - Tiebreaker created.##
18,🐪 day - Drink and be merry,2020-06-24 10:51:52,A,1,7478280,Game 🐪 day - Drink and be merry created.##
19,🐪 day - Historical Surprise Party,2020-06-26 15:06:51,A,1,7478389,Game 🐪 day - Historical Surprise Party created.##
20,🐪 day - History Repeats Itself,2020-07-15 03:07:31,A,1,7479251,Game 🐪 day - History Repeats Itself created.##
21,🐪 day - For all the marbles,2020-07-21 21:18:45,A,1,7479593,Game 🐪 day - For all the marbles created.##
22,🐪 day - Play Differently,2020-07-29 14:21:52,A,1,7479938,Game 🐪 day - Play Differently created.##
23,🐪 day - Peace Be Unto You,2020-08-06 16:42:43,A,1,7480288,Game 🐪 day - Peace Be Unto You created.##
24,🐪 day - Resume Violence,2020-08-11 17:30:04,A,1,7480536,Game 🐪 day - Resume Violence created.##
25,🐪 day - Business as Usual,2020-08-14 15:44:36,A,1,7480677,Game 🐪 day - Business as Usual created.##
26,🐪 day - Break the Streak!,2020-08-19 12:36:53,A,1,7480887,Game 🐪 day - Break the Streak! created.##
27,🐪 day - Complete the Pattern,2020-08-24 15:43:45,A,1,7481117,Game 🐪 day - Complete the Pattern created.##
28,🐪 day,2020-09-01 11:31:40,A,1,7481459,Game 🐪 day created.##
29,🐪 day - The Return,2020-09-10 14:48:35,A,1,7481844,Game 🐪 day - The Return created.##
30,🐪 day - The Return of the Moses(?),2020-09-14 23:00:48,A,1,7482019,Game 🐪 day - The Return of the Moses(?) created.##
31,🐪 day - Episode I,2020-09-22 10:07:39,A,1,7482338,Game 🐪 day - Episode I created.##
32,🐪 day - Episode II,2020-10-05 22:13:06,A,1,7482908,Game 🐪 day - Episode II created.##
33,🐪 day - Episode iV A New Pope,2020-11-01 23:20:48,A,1,7484166,Game 🐪 day - Episode iV A New Pope created.##
34,🐪 day - Episode V Alexanders Empire Strikes Back,2020-11-17 06:45:09,A,1,7484894,Game 🐪 day - Episode V Alexanders Empire Strikes Back created.##
35,🐪 day - Episode VI Turn of the Jedi,2020-12-09 10:26:28,A,1,7485891,Game 🐪 day - Episode VI Turn of the Jedi created.##
36,🐪 day - Episode VII The Air Force Awakens,2020-12-22 14:05:35,A,1,7486444,Game 🐪 day - Episode VII The Air Force Awakens created.##
37,🐪 day - Episode VIII The Last Knight,2021-01-06 19:01:36,A,1,7487030,Game 🐪 day - Episode VIII The Last Knight created.##
38,🐪 day - Episode IX - The Rise of Micah,2021-02-02 15:17:47,A,1,7488202,Game 🐪 day - Episode IX - The Rise of Micah created.##
39,🐪 day - The Reboot,2021-02-17 14:30:43,A,1,7488850,Game 🐪 day - The Reboot created.##
40,🐪 day - Renaissance,2021-03-04 10:36:46,A,1,7489429,Game 🐪 day - Renaissance created.##
41,🐪 day - Revolution,2021-03-12 08:57:05,A,1,7489723,Game 🐪 day - Revolution created.##
42,🐪 day - Resolution,2021-03-18 11:53:59,A,1,7489957,Game 🐪 day - Resolution created.##
43,🐪 day - Reunion,2021-03-28 18:28:53,A,1,7490325,Game 🐪 day - Reunion created.##
44,🐪 day - The Fates Have Spoken,2021-03-30 09:06:06,A,1,7490386,Game 🐪 day - The Fates Have Spoken created.##
45,🐪 day - The Feats Have Woken,2021-04-07 10:52:03,A,1,7490649,Game 🐪 day - The Feats Have Woken created.##
46,🐪 day - The Feast Has Smoken,2021-04-17 23:48:48,A,1,7491046,Game 🐪 day - The Feast Has Smoken created.##
47,🐪 day - The Seats Are Broken,2021-04-29 09:06:01,A,1,7491505,Game 🐪 day - The Seats Are Broken created.##
48,🐪 day - We Seek More Tokens,2021-05-21 14:15:06,A,1,7492262,Game 🐪 day - We Seek More Tokens created.##
49,🐪 day - Best game yet?,2021-06-04 10:00:37,A,1,7492705,Game 🐪 day - Best game yet? created.##
50,"🐪 day - Another day, another dollar",2021-06-16 08:20:17,A,1,7493040,"Game 🐪 day - Another day, another dollar created.##"
51,"🐪 day - Another hey, another hollar",2021-06-26 19:32:52,A,1,7493350,"Game 🐪 day - Another hey, another hollar created.##"
