,game_name,num_turns,start_date,end_date
7472433,not hump day,22,2020-03-28 12:03:44,2020-03-28 19:23:11
7472434,not hump day,20,2020-03-28 12:04:02,2020-04-09 10:40:47
7473200,This Means War is Peace,19,2020-04-06 20:07:21,2020-04-09 21:08:17
7473404,🐪 day,19,2020-04-09 11:08:12,2020-04-14 18:23:14
7473814,🐪 day - Part Deux,19,2020-04-14 18:27:35,2020-04-22 22:45:09
7474472,🐪 day - Part Deux (2),18,2020-04-22 22:48:55,2020-04-29 17:53:03
7474996,🐪 day - Part Deux (Garbage),18,2020-04-29 17:54:41,2020-05-05 10:05:49
7475368,🐪 day - Part Deux (Garbage too),18,2020-05-05 10:11:53,2020-05-16 21:41:10
7475369,🐪 day - Part Trois?,18,2020-05-05 10:12:42,2020-05-11 18:35:02
7476107,🐪 day - Redux,19,2020-05-16 21:58:00,2020-05-27 14:05:37
7476793,🐪 day - Revenge,19,2020-05-27 14:09:34,2020-05-29 18:08:53
7476918,🐪 day - Take Down David,17,2020-05-29 18:23:20,2020-06-02 19:08:30
7477184,🐪 day - Don't be dumb,18,2020-06-03 12:48:17,2020-06-04 16:55:26
7477255,🐪 day - Just Have Fun,18,2020-06-04 16:59:56,2020-06-09 12:09:52
7477545,🐪 day - Learn from Mistakes,18,2020-06-09 12:29:48,2020-06-15 13:29:42
7477831,🐪 day - Everyone Is Moses,18,2020-06-15 13:40:02,2020-06-17 11:46:21
7477939,🐪 day - Back to the Future,19,2020-06-17 12:01:00,2020-06-21 22:00:57
7478150,🐪 day - Tiebreaker,19,2020-06-21 22:15:27,2020-06-24 10:35:53
7478280,🐪 day - Drink and be merry,19,2020-06-24 10:51:52,2020-06-26 14:58:16
7478389,🐪 day - Historical Surprise Party,19,2020-06-26 15:06:51,2020-07-15 00:16:07
7479251,🐪 day - History Repeats Itself,18,2020-07-15 03:07:31,2020-07-21 19:37:24
7479593,🐪 day - For all the marbles,20,2020-07-21 21:18:45,2020-07-28 23:45:39
7479938,🐪 day - Play Differently,17,2020-07-29 14:21:52,2020-08-06 16:20:54
7480288,🐪 day - Peace Be Unto You,18,2020-08-06 16:42:43,2020-08-11 16:56:16
7480536,🐪 day - Resume Violence,17,2020-08-11 17:30:04,2020-08-14 11:34:20
7480677,🐪 day - Business as Usual,18,2020-08-14 15:44:36,2020-08-19 10:51:13
7480887,🐪 day - Break the Streak!,17,2020-08-19 12:36:53,2020-08-24 15:36:47
7481117,🐪 day - Complete the Pattern,17,2020-08-24 15:43:45,2020-09-01 11:13:42
7481459,🐪 day,19,2020-09-01 11:31:40,2020-09-10 10:41:31
7481844,🐪 day - The Return,19,2020-09-10 14:48:35,2020-09-14 21:18:29
7482019,🐪 day - The Return of the Moses(?),18,2020-09-14 23:00:48,2020-09-21 17:26:14
7482338,🐪 day - Episode I,19,2020-09-22 10:07:39,2020-10-05 17:27:25
7482908,🐪 day - Episode II,19,2020-10-05 22:13:06,2020-10-15 21:54:27
7483387,,20,2020-10-18 15:01:25,2020-11-01 08:54:35
7484166,🐪 day - Episode iV A New Pope,19,2020-11-01 23:20:48,2020-11-16 21:01:07
7484894,🐪 day - Episode V Alexanders Empire Strikes Back,19,2020-11-17 06:45:09,2020-12-01 13:39:24
7485891,🐪 day - Episode VI Turn of the Jedi,20,2020-12-09 10:26:28,2020-12-22 11:56:15
7486444,🐪 day - Episode VII The Air Force Awakens,20,2020-12-22 14:05:35,2021-01-06 16:08:45
7487030,🐪 day - Episode VIII The Last Knight,20,2021-01-06 19:01:36,2021-01-30 23:14:30
7488202,🐪 day - Episode IX - The Rise of Micah,19,2021-02-02 15:17:47,2021-02-16 21:56:23
7488850,🐪 day - The Reboot,17,2021-02-17 14:30:43,2021-03-03 13:17:19
7489429,🐪 day - Renaissance,19,2021-03-04 10:36:46,2021-03-11 16:47:11
7489723,🐪 day - Revolution,17,2021-03-12 08:57:05,2021-03-17 14:48:05
7489957,🐪 day - Resolution,18,2021-03-18 11:53:59,2021-03-28 11:09:57
7490325,🐪 day - Reunion,18,2021-03-28 18:28:53,2021-03-28 21:57:48
7490386,🐪 day - The Fates Have Spoken,18,2021-03-30 09:06:06,2021-04-06 11:18:24
7490649,🐪 day - The Feats Have Woken,17,2021-04-07 10:52:03,2021-04-17 23:09:50
7491046,🐪 day - The Feast Has Smoken,18,2021-04-17 23:48:48,2021-04-28 10:47:18
7491505,🐪 day - The Seats Are Broken,17,2021-04-29 09:06:01,2021-05-21 11:58:52
7492262,🐪 day - We Seek More Tokens,18,2021-05-21 14:15:06,2021-06-04 09:42:40
7492705,🐪 day - Best game yet?,17,2021-06-04 10:00:37,2021-06-15 14:04:51
7493040,"🐪 day - Another day, another dollar",18,2021-06-16 08:20:17,2021-06-26 14:57:41
7493350,"🐪 day - Another hey, another hollar",18,2021-06-26 19:32:52,2021-07-01 14:45:46
