,impact_name,time,age,round,game_id,text
0,Agriculture,2020-03-28 19:23:11,IV,23,7472433,Impact of Agriculture#Each civilization scores culture equal to the amount of food its farms produce. Orange scores 3 culture Purple scores 4 culture Green scores 4 culture Grey scores 15 culture #
1,Competition,2020-03-28 19:23:11,IV,23,7472433,Impact of Competition#Each civilization scores 1 culture per level of each of its military units and arenas. Orange scores 3 culture Purple scores 3 culture Green scores 0 culture Grey scores 1 culture #
2,Happiness,2020-03-28 19:23:11,IV,23,7472433,Impact of Happiness#Each civilization scores 2 culture per happy face (max 16) and loses 2 per discontent worker. Orange scores 16 culture Purple scores 16 culture Green scores 16 culture Grey scores 16 culture #
3,Population,2020-03-28 19:23:11,IV,23,7472433,Impact of Population#Each civilization scores 2 culture per content worker above 10. Orange scores 16 culture Purple scores 6 culture Green scores 10 culture Grey scores 10 culture #
4,Science,2020-03-28 19:23:11,IV,23,7472433,Impact of Science#Score culture according to science rating: 15/10/5/0 for 4-player 14/7/0 for 3-player 10/0 for 2-player Orange scores 0 culture Purple scores 5 culture Green scores 15 culture Grey scores 10 culture #
5,Wonders,2020-03-28 19:23:11,IV,23,7472433,Impact of Wonders#Each civilization scores culture for its wonders: 5 for age A 4 for age I 3 for age II 2 for age III Orange scores 9 culture Purple scores 6 culture Green scores 8 culture Grey scores 12 culture #
6,Architecture,2020-04-09 10:40:47,IV,21,7472434,Impact of Architecture#Each civilization scores 1 culture per level of its urban buildings. Orange scores 17 culture Purple scores 9 culture Green scores 9 culture Grey scores 9 culture #
7,Government,2020-04-09 10:40:47,IV,21,7472434,Impact of Government#Each civilization scores 2 culture per civil action and 1 culture per military action. Orange scores 20 culture Purple scores 16 culture Green scores 16 culture Grey scores 17 culture #
8,Industry,2020-04-09 10:40:47,IV,21,7472434,Impact of Industry#Each civilization scores culture equal to the amount of resources it produce. Orange scores 7 culture Purple scores 8 culture Green scores 15 culture Grey scores 7 culture #
9,Population,2020-04-09 10:40:47,IV,21,7472434,Impact of Population#Each civilization scores 2 culture per content worker above 10. Orange scores 16 culture Purple scores 16 culture Green scores 4 culture Grey scores 6 culture #
10,Wonders,2020-04-09 10:40:47,IV,21,7472434,Impact of Wonders#Each civilization scores culture for its wonders: 5 for age A 4 for age I 3 for age II 2 for age III Orange scores 7 culture Purple scores 10 culture Green scores 10 culture Grey scores 9 culture #
11,Colonies,2020-04-09 21:08:17,IV,20,7473200,Impact of Colonies#Each civilization scores 4 culture per colony. Orange scores 0 culture Purple scores 0 culture Green scores 12 culture Grey scores 12 culture #
12,Competition,2020-04-09 21:08:17,IV,20,7473200,Impact of Competition#Each civilization scores 1 culture per level of each of its military units and arenas. Orange scores 11 culture Purple scores 6 culture Green scores 0 culture Grey scores 7 culture #
13,Industry,2020-04-09 21:08:17,IV,20,7473200,Impact of Industry#Each civilization scores culture equal to the amount of resources it produce. Orange scores 4 culture Purple scores 9 culture Green scores 10 culture Grey scores 8 culture #
14,Science,2020-04-09 21:08:17,IV,20,7473200,Impact of Science#Score culture according to science rating: 15/10/5/0 for 4-player 14/7/0 for 3-player 10/0 for 2-player Orange scores 0 culture Purple scores 15 culture Green scores 10 culture Grey scores 5 culture #
15,Balance,2020-04-14 18:23:14,IV,20,7473404,"Impact of Balance#Each civilization scores culture equal to double the amount of whatever it produces the least (science, culture, food, or resource). Ignore corruption and consumption. Orange scores 12 culture Purple scores 8 culture Green scores 8 culture Grey scores 8 culture #"
16,Science,2020-04-14 18:23:12,IV,20,7473404,Impact of Science#Each civilizations score culture according to the relative amount of science it produces: 15/10/5/0 for 4-player 14/7/0 for 3-player 10/0 for 2-player Orange scores 15 culture Green scores 5 culture Grey scores 10 culture #
17,Population,2020-04-14 18:23:11,IV,20,7473404,Impact of Population#Each civilization scores 2 culture per content worker above 10. Orange scores 16 culture Purple scores 18 culture Green scores 14 culture Grey scores 10 culture #
18,Industry,2020-04-14 18:23:10,IV,20,7473404,Impact of Industry#Each civilization scores culture equal to the amount of resources its mines produce. (Ignore any production from other sources) Orange scores 8 culture Purple scores 6 culture Green scores 6 culture Grey scores 6 culture #
19,Competition,2020-04-14 18:23:09,IV,20,7473404,Impact of Competition#Each civilization scores 1 culture per level of each of its military units and arenas. Orange scores 9 culture Purple scores 4 culture Green scores 2 culture Grey scores 7 culture #
20,Variety,2020-04-22 22:45:09,IV,20,7473814,"Impact of Variety#Each civilization scores 2 culture for each type of unit, urban building and special (blue) technology. Orange scores 14 culture Purple scores 18 culture Green scores 16 culture Grey scores 16 culture #"
21,Technology,2020-04-22 22:45:06,IV,20,7473814,Impact of Technology#Each civilization scores 4 culture for each of its level III technologies (level II in Advanced game). Orange scores 8 culture Purple scores 8 culture Green scores 4 culture Grey scores 12 culture #
22,Science,2020-04-22 22:45:05,IV,20,7473814,Impact of Science#Each civilizations score culture according to the relative amount of science it produces: 15/10/5/0 for 4-player 14/7/0 for 3-player 10/0 for 2-player Purple scores 10 culture Green scores 5 culture Grey scores 15 culture #
23,Progress,2020-04-22 22:45:03,IV,20,7473814,Impact of Progress#Each civilization scores 2 culture per level of each of its government and special (blue) technologies. Orange scores 12 culture Purple scores 18 culture Green scores 8 culture Grey scores 18 culture #
24,Population,2020-04-22 22:45:02,IV,20,7473814,Impact of Population#Each civilization scores 2 culture per content worker above 10. Orange scores 12 culture Purple scores 12 culture Green scores 18 culture Grey scores 12 culture #
25,Happiness,2020-04-22 22:45:00,IV,20,7473814,Impact of Happiness#Each civilization scores 2 culture per happy face (no more than 16 points) and loses 2 culture per discontent worker. Orange scores 6 culture Purple scores 10 culture Green scores 14 culture Grey scores 16 culture #
26,Variety,2020-04-29 17:53:02,IV,19,7474472,"Impact of Variety#Each civilization scores 2 culture for each type of unit, urban building and special (blue) technology. Orange scores 16 culture Purple scores 14 culture Green scores 12 culture Grey scores 8 culture #"
27,Technology,2020-04-29 17:53:01,IV,19,7474472,Impact of Technology#Each civilization scores 4 culture for each of its level III technologies (level II in Advanced game). Orange scores 12 culture Green scores 16 culture #
