,player,culture_gen,culture,time,age,round,game_id,text
0,Grey,24,316,2020-03-28 19:23:11,IV,23,7472433,End turn#Grey scores: 12 food - consumption: 3 (now 15) 11 resources (now 15) 24 culture (now 316) 12 science (now 37) #
1,Green,29,304,2020-03-28 19:21:57,IV,22,7472433,End turn#Green scores: 0 food - consumption: 4 (now 1) 12 resources (now 12) 29 culture (now 304) 13 science (now 15) #
2,Purple,10,137,2020-03-28 19:20:19,IV,22,7472433,End turn#Purple scores: 1 food - consumption: 3 (now 1) 6 resources (now 8) 10 culture (now 137) 6 science (now 14) #
3,Orange,20,278,2020-03-28 19:17:49,IV,22,7472433,End turn#Orange scores: 1 food - consumption: 2 (now 2) 7 resources (now 8) 20 culture (now 278) 3 science (now 3) #
4,Grey,24,292,2020-03-28 19:14:10,IV,22,7472433,End turn#Grey scores: 1 food - consumption: 3 (now 4) 11 resources (now 17) 24 culture (now 292) 12 science (now 34) #
5,Green,25,275,2020-03-28 19:12:23,IV,21,7472433,End turn#Green scores: 0 food - consumption: 4 (now 1) 10 resources (now 14) 25 culture (now 275) 9 science (now 11) #
6,Purple,9,110,2020-03-28 19:07:49,IV,21,7472433,End turn#Purple scores: 1 food - consumption: 3 (now 5) 2 resources - corruption: 4 (now 21) NO MILITARY CARDS LEFT. DISCARD PILE HAS BEEN RESHUFFLED. NO MILITARY CARDS LEFT. DISCARD PILE HAS BEEN RESHUFFLED. Purple draws 3 military cards 9 culture (now 110) 5 science (now 8) Age IV begins. Each player loses 2 yellow tokens #
7,Orange,20,255,2020-03-28 19:05:01,III,21,7472433,End turn#Orange scores: 1 food - consumption: 2 (now 5) 7 resources (now 8) NO MILITARY CARDS LEFT. DISCARD PILE HAS BEEN RESHUFFLED. Orange draws 3 military cards 20 culture (now 255) 3 science (now 9) #
8,Grey,22,241,2020-03-28 19:02:12,III,21,7472433,End turn#Grey scores: 2 food - consumption: 2 (now 8) 11 resources (now 28) NO MILITARY CARDS LEFT. DISCARD PILE HAS BEEN RESHUFFLED. Grey draws 3 military cards 22 culture (now 241) 12 science (now 29) #
9,Green,21,250,2020-03-28 19:00:58,III,20,7472433,End turn#Green scores: 1 food - consumption: 3 (now 1) 10 resources (now 10) NO MILITARY CARDS LEFT. DISCARD PILE HAS BEEN RESHUFFLED. Green draws 3 military cards 21 culture (now 250) 8 science (now 23) #
10,Purple,7,101,2020-03-28 18:56:29,III,20,7472433,End turn#Purple scores: 1 food - consumption: 3 (now 4) 2 resources - corruption: 4 (now 19) NO MILITARY CARDS LEFT. DISCARD PILE HAS BEEN RESHUFFLED. Purple draws 2 military cards 7 culture (now 101) 5 science (now 11) #
11,Orange,18,235,2020-03-28 18:53:14,III,20,7472433,End turn#Orange scores: 2 food - consumption: 1 (now 7) 7 resources (now 7) NO MILITARY CARDS LEFT. DISCARD PILE HAS BEEN RESHUFFLED. Orange draws 3 military cards 18 culture (now 235) 2 science (now 6) #
12,Grey,21,207,2020-03-28 18:50:10,III,20,7472433,End turn#Grey scores: 2 food - consumption: 2 (now 6) 11 resources (now 28) NO MILITARY CARDS LEFT. DISCARD PILE HAS BEEN RESHUFFLED. Grey draws 3 military cards 21 culture (now 207) 12 science (now 17) #
13,Green,19,221,2020-03-28 18:47:28,III,19,7472433,End turn#Green scores: 1 food - consumption: 3 (now 5) 8 resources (now 12) NO MILITARY CARDS LEFT. DISCARD PILE HAS BEEN RESHUFFLED. Green draws 3 military cards 19 culture (now 221) 8 science (now 15) #
14,Purple,7,71,2020-03-28 18:43:16,III,19,7472433,End turn#Purple scores: 1 food - consumption: 3 (now 3) 4 resources - corruption: 2 (now 17) NO MILITARY CARDS LEFT. DISCARD PILE HAS BEEN RESHUFFLED. Purple draws 2 military cards 7 culture (now 71) 5 science (now 6) #
