,player,territory,bid,time,age,round,game_id,text
0,Orange,Fertile Territory,6,2020-03-28 18:15:59,III,17,7472433,Orange wins Fertile Territory#Winning bid is 6#
1,Grey,Developed Territory,8,2020-03-28 18:09:35,III,16,7472433,Grey wins Developed Territory#Winning bid is 8#
2,Purple,Strategic Territory,4,2020-03-28 16:58:02,III,16,7472433,Purple wins Strategic Territory#Winning bid is 4#
3,Green,Historic Territory,11,2020-03-28 16:44:08,III,15,7472433,Green wins Historic Territory#Winning bid is 11#
4,Orange,Inhabited Territory,8,2020-03-28 16:19:55,II,14,7472433,Orange wins Inhabited Territory#Winning bid is 8#
5,Orange,Wealthy Territory,2,2020-03-28 14:31:24,I,7,7472433,Orange wins Wealthy Territory#Winning bid is 2#
6,Grey,Historic Territory,2,2020-03-28 14:15:10,I,6,7472433,Grey wins Historic Territory#Winning bid is 2#
7,Purple,Developed Territory,3,2020-03-28 13:54:12,I,5,7472433,Purple wins Developed Territory#Winning bid is 3#
8,Orange,Strategic Territory,3,2020-03-28 13:46:21,I,5,7472433,Orange wins Strategic Territory#Winning bid is 3#
9,Green,Wealthy Territory,11,2020-04-09 10:33:10,IV,20,7472434,Green wins Wealthy Territory#Winning bid is 11#
10,Green,Fertile Territory,7,2020-04-08 19:56:15,III,17,7472434,Green wins Fertile Territory#Winning bid is 7#
11,Orange,Strategic Territory,7,2020-04-08 17:18:29,III,17,7472434,Orange wins Strategic Territory#Winning bid is 7#
12,Green,Inhabited Territory,7,2020-04-08 10:26:18,III,15,7472434,Green wins Inhabited Territory#Winning bid is 7#
13,Green,Strategic Territory,7,2020-04-07 16:30:30,II,14,7472434,Green wins Strategic Territory#Winning bid is 7#
14,Orange,Fertile Territory,6,2020-04-07 10:41:37,II,11,7472434,Orange wins Fertile Territory#Winning bid is 6#
15,Green,Wealthy Territory,6,2020-04-06 21:06:02,II,8,7472434,Green wins Wealthy Territory#Winning bid is 6#
16,Purple,Historic Territory,4,2020-04-06 20:06:17,II,8,7472434,Purple wins Historic Territory#Winning bid is 4#
17,Green,Inhabited Territory,9,2020-04-09 15:24:07,III,16,7473200,Green wins Inhabited Territory#Winning bid is 9#
18,Green,Strategic Territory,5,2020-04-09 11:03:11,III,14,7473200,Green wins Strategic Territory#Winning bid is 5#
19,Grey,Fertile Territory,7,2020-04-09 10:18:01,III,13,7473200,Grey wins Fertile Territory#Winning bid is 7#
20,Grey,Wealthy Territory,8,2020-04-08 19:56:27,II,12,7473200,Grey wins Wealthy Territory#Winning bid is 8#
21,Green,Developed Territory,2,2020-04-07 21:47:22,I,7,7473200,Green wins Developed Territory#Winning bid is 2#
22,Grey,Strategic Territory,3,2020-04-07 16:31:01,I,6,7473200,Grey wins Strategic Territory#Winning bid is 3#
23,Green,Inhabited Territory,18,2020-04-14 18:04:12,IV,19,7473404,Green wins Inhabited Territory#Winning bid is 18#
24,Grey,Wealthy Territory,9,2020-04-13 20:14:33,III,16,7473404,Grey wins Wealthy Territory#Winning bid is 9#
25,Orange,Developed Territory,4,2020-04-13 12:08:14,II,12,7473404,Orange wins Developed Territory#Winning bid is 4#
26,Grey,Vast Territory,6,2020-04-13 09:11:04,II,10,7473404,Grey wins Vast Territory#Winning bid is 6#
27,Purple,Wealthy Territory,4,2020-04-11 13:10:02,I,7,7473404,Purple wins Wealthy Territory#Winning bid is 4#
28,Green,Historic Territory,3,2020-04-10 14:30:52,I,6,7473404,Green wins Historic Territory#Winning bid is 3#
29,Grey,Strategic Territory,3,2020-04-10 13:21:47,I,6,7473404,Grey wins Strategic Territory#Winning bid is 3#
30,Purple,Strategic Territory,10,2020-04-22 11:58:12,III,17,7473814,Purple wins Strategic Territory#Winning bid is 10#
31,Grey,Wealthy Territory,11,2020-04-22 11:08:57,III,17,7473814,Grey wins Wealthy Territory#Winning bid is 11#
32,Green,Historic Territory,13,2020-04-21 22:16:40,III,16,7473814,Green wins Historic Territory#Winning bid is 13#
33,Purple,Developed Territory,10,2020-04-21 12:37:31,III,15,7473814,Purple wins Developed Territory#Winning bid is 10#
34,Green,Inhabited Territory,8,2020-04-20 22:29:36,II,13,7473814,Green wins Inhabited Territory#Winning bid is 8#
35,Purple,Wealthy Territory,10,2020-04-20 16:40:18,II,12,7473814,Purple wins Wealthy Territory#Winning bid is 10#
36,Orange,Vast Territory,7,2020-04-19 15:14:36,II,11,7473814,Orange wins Vast Territory#Winning bid is 7#
37,Purple,Historic Territory,4,2020-04-16 20:03:49,I,6,7473814,Purple wins Historic Territory#Winning bid is 4#
38,Green,Vast Territory,15,2020-04-29 16:33:16,IV,18,7474472,Green wins Vast Territory#Winning bid is 15#
39,Grey,Inhabited Territory,11,2020-04-29 10:29:57,III,16,7474472,Grey wins Inhabited Territory#Winning bid is 11#
40,Purple,Historic Territory,11,2020-04-28 10:10:01,III,13,7474472,Purple wins Historic Territory#Winning bid is 11#
41,Orange,Wealthy Territory,7,2020-04-27 16:46:04,II,12,7474472,Orange wins Wealthy Territory#Winning bid is 7#
42,Green,Strategic Territory,6,2020-04-27 16:13:03,II,12,7474472,Green wins Strategic Territory#Winning bid is 6#
43,Orange,Inhabited Territory,7,2020-04-27 15:41:59,II,12,7474472,Orange wins Inhabited Territory#Winning bid is 7#
44,Grey,Developed Territory,6,2020-04-27 13:54:29,II,11,7474472,Grey wins Developed Territory#Winning bid is 6#
45,Grey,Vast Territory,6,2020-04-26 18:09:57,II,8,7474472,Grey wins Vast Territory#Winning bid is 6#
46,Purple,Historic Territory,3,2020-04-24 16:03:00,I,5,7474472,Purple wins Historic Territory#Winning bid is 3#
47,Grey,Wealthy Territory,6,2020-05-03 22:02:52,III,14,7474996,Grey wins Wealthy Territory#Winning bid is 6#
48,Orange,Vast Territory,3,2020-05-03 14:04:52,III,13,7474996,Orange wins Vast Territory#Winning bid is 3#
