,player,response,time,age,round,game_id,text
0,Orange,accepts,2020-03-28 19:01:26,III,20,7472433,Orange accepts pact offer##
1,Grey,accepts,2020-03-28 15:44:18,II,12,7472433,Grey accepts pact offer##
2,Grey,declines,2020-03-28 15:40:27,II,12,7472433,Grey declines offer##
3,Purple,declines,2020-03-28 14:06:24,I,6,7472433,Purple declines offer##
4,Grey,accepts,2020-04-08 18:12:27,III,17,7472434,Grey accepts pact offer##
5,Green,accepts,2020-04-07 15:24:09,II,14,7472434,Green accepts pact offer#Promise of Military Protection is cancelled#
6,Grey,accepts,2020-04-07 13:54:42,II,13,7472434,Grey accepts pact offer##
7,Purple,accepts,2020-04-09 17:39:36,III,17,7473200,Purple accepts pact offer##
8,Green,accepts,2020-04-09 11:48:48,III,15,7473200,Green accepts pact offer##
9,Grey,accepts,2020-04-08 21:39:58,II,13,7473200,Grey accepts pact offer##
10,Purple,accepts,2020-04-13 16:28:38,III,14,7473404,Purple accepts pact offer##
11,Purple,declines,2020-04-12 16:23:21,II,9,7473404,Purple declines offer##
12,Orange,accepts,2020-04-21 15:08:03,III,16,7473814,Orange accepts pact offer##
13,Grey,declines,2020-04-21 10:51:43,III,15,7473814,Grey declines offer##
14,Green,accepts,2020-04-18 09:34:08,II,10,7473814,Green accepts pact offer##
15,Orange,declines,2020-04-17 18:17:11,II,10,7473814,Orange declines offer##
16,Grey,accepts,2020-04-29 17:45:29,IV,18,7474472,Grey accepts pact offer##
17,Grey,declines,2020-04-28 16:03:24,III,15,7474472,Grey declines offer##
18,Grey,accepts,2020-04-27 19:51:01,III,13,7474472,Grey accepts pact offer##
19,Orange,accepts,2020-05-04 15:35:16,III,16,7474996,Orange accepts pact offer##
20,Purple,accepts,2020-05-04 14:56:18,III,16,7474996,Purple accepts pact offer##
21,Purple,accepts,2020-05-02 17:47:55,II,11,7474996,Purple accepts pact offer##
22,Purple,declines,2020-05-02 00:53:38,II,10,7474996,Purple declines offer##
23,Purple,accepts,2020-05-01 12:21:44,II,7,7474996,Purple accepts pact offer##
24,Purple,accepts,2020-05-14 14:51:44,II,10,7475368,Purple accepts pact offer##
25,Orange,accepts,2020-05-12 16:21:28,I,7,7475368,Orange accepts pact offer##
26,Grey,accepts,2020-05-11 14:56:54,III,16,7475369,Grey accepts pact offer##
27,Grey,accepts,2020-05-11 12:37:39,III,14,7475369,Grey accepts pact offer##
28,Grey,declines,2020-05-11 10:34:42,II,12,7475369,Grey declines offer##
29,Purple,accepts,2020-05-21 11:39:51,II,11,7476107,Purple accepts pact offer##
30,Green,accepts,2020-05-20 19:24:59,II,10,7476107,Green accepts pact offer##
31,Grey,accepts,2020-05-29 16:56:59,III,18,7476793,Grey accepts pact offer##
32,Grey,accepts,2020-05-29 12:41:12,III,13,7476793,Grey accepts pact offer##
33,Grey,accepts,2020-05-28 20:48:01,II,9,7476793,Grey accepts pact offer##
34,Grey,accepts,2020-06-01 14:41:53,II,10,7476918,Grey accepts pact offer##
35,Orange,accepts,2020-06-04 11:06:44,III,15,7477184,Orange accepts pact offer##
36,Grey,accepts,2020-06-04 09:27:05,III,14,7477184,Grey accepts pact offer##
37,Grey,accepts,2020-06-03 19:30:10,II,11,7477184,Grey accepts pact offer##
38,Green,declines,2020-06-08 19:11:15,III,14,7477255,Green declines offer##
39,Green,accepts,2020-06-08 17:45:58,III,14,7477255,Green accepts pact offer##
40,Orange,accepts,2020-06-15 08:35:33,III,14,7477545,Orange accepts pact offer##
41,Purple,declines,2020-06-09 16:10:36,I,4,7477545,Purple declines offer##
42,Green,accepts,2020-06-21 20:49:26,III,18,7477939,Green accepts pact offer##
43,Orange,accepts,2020-06-18 14:23:16,II,12,7477939,Orange accepts pact offer#International Trade Agreement is cancelled#
44,Purple,accepts,2020-06-18 12:22:40,II,10,7477939,Purple accepts pact offer##
45,Grey,accepts,2020-06-17 18:01:43,I,5,7477939,Grey accepts pact offer##
46,Green,accepts,2020-06-24 10:30:59,IV,19,7478150,Green accepts pact offer##
47,Grey,accepts,2020-06-23 11:05:20,II,11,7478150,Grey accepts pact offer##
48,Green,accepts,2020-06-22 10:23:53,I,4,7478150,Green accepts pact offer##
49,Grey,declines,2020-06-26 10:45:32,III,17,7478280,Grey declines offer##
50,Orange,declines,2020-06-24 17:02:10,I,7,7478280,Orange declines offer##
51,Grey,accepts,2020-07-15 00:00:39,IV,19,7478389,Grey accepts pact offer##
52,Green,accepts,2020-07-14 23:28:00,III,18,7478389,Green accepts pact offer##
53,Green,accepts,2020-06-28 18:55:03,I,5,7478389,Green accepts pact offer##
54,Green,accepts,2020-07-21 17:09:30,III,16,7479251,Green accepts pact offer##
55,Grey,accepts,2020-07-20 16:16:44,II,13,7479251,Grey accepts pact offer##
56,Green,accepts,2020-07-18 14:08:49,I,6,7479251,Green accepts pact offer##
57,Grey,accepts,2020-07-28 09:31:53,III,16,7479593,Grey accepts pact offer##
58,Orange,declines,2020-07-27 13:21:12,II,13,7479593,Orange declines offer##
59,Purple,accepts,2020-07-24 14:10:58,II,11,7479593,Purple accepts pact offer##
60,Grey,accepts,2020-08-06 12:05:10,III,16,7479938,Grey accepts pact offer##
61,Grey,accepts,2020-08-05 07:47:43,II,9,7479938,Grey accepts pact offer#Trade Routes Agreement is cancelled#
62,Grey,accepts,2020-08-04 06:26:05,I,5,7479938,Grey accepts pact offer##
63,Grey,accepts,2020-08-11 09:02:18,III,14,7480288,Grey accepts pact offer##
64,Purple,accepts,2020-08-10 16:54:46,II,8,7480288,Purple accepts pact offer##
65,Orange,accepts,2020-08-14 10:56:39,IV,16,7480536,Orange accepts pact offer##
66,Green,accepts,2020-08-13 13:50:47,II,10,7480536,Green accepts pact offer#Trade Routes Agreement is cancelled#
67,Green,accepts,2020-08-13 07:57:08,II,7,7480536,Green accepts pact offer##
68,Orange,accepts,2020-08-18 14:05:03,III,13,7480677,Orange accepts pact offer##
69,Orange,accepts,2020-08-17 16:24:33,II,9,7480677,Orange accepts pact offer##
70,Green,accepts,2020-08-24 13:18:18,III,16,7480887,Green accepts pact offer#International Trade Agreement is cancelled#
71,Purple,accepts,2020-08-24 12:43:31,III,15,7480887,Purple accepts pact offer##
72,Green,accepts,2020-08-24 12:28:13,III,15,7480887,Green accepts pact offer##
73,Grey,accepts,2020-08-21 11:04:12,II,10,7480887,Grey accepts pact offer##
74,Purple,accepts,2020-08-20 14:59:26,I,6,7480887,Purple accepts pact offer##
75,Orange,accepts,2020-08-31 15:15:06,III,13,7481117,Orange accepts pact offer##
76,Purple,accepts,2020-08-31 13:05:27,III,12,7481117,Purple accepts pact offer##
77,Grey,accepts,2020-08-26 14:18:03,I,6,7481117,Grey accepts pact offer##
78,Purple,accepts,2020-09-08 17:48:01,III,15,7481459,Purple accepts pact offer##
79,Grey,accepts,2020-09-08 11:11:42,II,10,7481459,Grey accepts pact offer##
80,Purple,accepts,2020-09-03 14:27:24,I,7,7481459,Purple accepts pact offer##
81,Purple,declines,2020-09-02 12:31:30,I,3,7481459,Purple declines offer##
82,Green,accepts,2020-09-14 20:38:11,IV,18,7481844,Green accepts pact offer##
83,Purple,accepts,2020-09-14 15:34:33,III,17,7481844,Purple accepts pact offer#Acceptance of Supremacy is cancelled#
84,Green,accepts,2020-09-13 23:27:23,III,14,7481844,Green accepts pact offer##
85,Green,accepts,2020-09-13 23:22:34,III,13,7481844,Green accepts pact offer##
86,Green,declines,2020-09-11 19:23:13,I,5,7481844,Green declines offer##
87,Grey,accepts,2020-09-21 14:45:19,III,17,7482019,Grey accepts pact offer##
88,Grey,accepts,2020-09-21 10:51:38,III,14,7482019,Grey accepts pact offer##
