,player,worker,time,age,round,game_id,text
0,Grey,R,2020-03-28 19:22:57,IV,22,7472433,Grey upgrades Religion to Theology#Grey spends 1 resource #
1,Grey,I,2020-03-28 19:22:50,IV,22,7472433,Grey upgrades Irrigation to Mechanized Agriculture#Grey spends 4 resources #
2,Grey,I,2020-03-28 19:22:15,IV,22,7472433,Grey upgrades Irrigation to Mechanized Agriculture#Grey spends 4 resources #
3,Green,B,2020-03-28 19:21:20,IV,22,7472433,Green upgrades Bronze to Coal#Green spends 6 resources #
4,Green,J,2020-03-28 19:21:09,IV,22,7472433,Green upgrades Journalism to Multimedia#Green spends 2 resources #
5,Green,J,2020-03-28 19:21:05,IV,22,7472433,Green upgrades Journalism to Multimedia#Green spends 2 resources #
6,Green,J,2020-03-28 19:21:00,IV,22,7472433,Green upgrades Journalism to Multimedia#Green spends 2 resources #
7,Green,J,2020-03-28 19:20:54,IV,22,7472433,Green upgrades Journalism to Multimedia#Green spends 2 resources #
8,Green,B,2020-03-28 19:00:22,III,20,7472433,Green upgrades Bronze to Coal#Green spends 6 resources #
9,Green,R,2020-03-28 18:59:31,III,20,7472433,Green upgrades Religion to Organized religion#Green spends 2 resources #
10,Orange,O,2020-03-28 18:51:39,III,20,7472433,Orange upgrades Opera to Movies#Orange spends 3 resources #
11,Grey,S,2020-03-28 18:49:29,III,19,7472433,Grey upgrades Scientific Method to Computers#Grey spends 2 resources #
12,Grey,S,2020-03-28 18:49:16,III,19,7472433,Grey upgrades Scientific Method to Computers#Grey spends 2 resources #
13,Grey,S,2020-03-28 18:49:11,III,19,7472433,Grey upgrades Scientific Method to Computers#Grey spends 2 resources #
14,Orange,O,2020-03-28 18:41:23,III,19,7472433,Orange upgrades Opera to Movies#Orange spends 3 resources #
15,Purple,P,2020-03-28 18:32:15,III,18,7472433,Purple upgrades Printing Press to Journalism#Purple spends 4 resources #
16,Purple,P,2020-03-28 18:32:10,III,18,7472433,Purple upgrades Printing Press to Journalism#Purple spends 4 resources #
17,Orange,D,2020-03-28 18:30:22,III,18,7472433,Orange upgrades Drama to Opera using Efficient Upgrade ##
18,Orange,O,2020-03-28 18:29:18,III,18,7472433,Orange upgrades Opera to Movies#Orange spends 3 resources #
19,Grey,B,2020-03-28 18:26:40,III,17,7472433,Grey upgrades Bronze to Oil using Efficient Upgrade #Grey spends 6 resources #
20,Purple,A,2020-03-28 18:22:57,III,17,7472433,Purple upgrades Agriculture to Irrigation#Purple spends 2 resources #
21,Orange,B,2020-03-28 18:19:57,III,17,7472433,Orange upgrades Bronze to Coal#Orange spends 6 resources #
22,Green,B,2020-03-28 18:07:58,III,16,7472433,Green upgrades Bronze to Coal#Green spends 6 resources #
23,Purple,R,2020-03-28 18:04:00,III,16,7472433,Purple upgrades Religion to Organized religion using Efficient Upgrade #Purple spends 1 resource #
24,Orange,D,2020-03-28 18:00:10,III,16,7472433,Orange upgrades Drama to Opera#Orange spends 4 resources #
25,Grey,A,2020-03-28 16:52:27,III,15,7472433,Grey upgrades Agriculture to Irrigation#Grey spends 2 resources #
26,Grey,A,2020-03-28 16:52:18,III,15,7472433,Grey upgrades Agriculture to Irrigation#Grey spends 2 resources #
27,Green,B,2020-03-28 16:47:13,III,15,7472433,Green upgrades Bronze to Coal#Green spends 6 resources #
28,Orange,D,2020-03-28 16:37:53,III,15,7472433,Orange upgrades Drama to Opera#Orange spends 4 resources #
29,Grey,W,2020-03-28 16:14:12,II,13,7472433,Grey upgrades Warrior to Swordsmen#Grey spends 1 resource #
30,Green,A,2020-03-28 15:45:43,II,12,7472433,Green upgrades Agriculture to Irrigation#Green spends 2 resources #
31,Purple,B,2020-03-28 15:41:09,II,12,7472433,Purple upgrades Bronze to Iron#Purple spends 3 resources #
32,Orange,W,2020-03-28 15:38:51,II,12,7472433,Orange upgrades Warrior to Riflemen#Orange spends 3 resources #
33,Orange,W,2020-03-28 15:38:44,II,12,7472433,Orange upgrades Warrior to Riflemen#Orange spends 3 resources #
34,Grey,A,2020-03-28 15:31:42,II,11,7472433,Grey upgrades Alchemy to Scientific Method#Grey spends 2 resources #
35,Grey,A,2020-03-28 15:30:27,II,11,7472433,Grey upgrades Alchemy to Scientific Method using Efficient Upgrade ##
36,Orange,B,2020-03-28 15:21:21,II,11,7472433,Orange upgrades Bronze to Coal#Orange spends 6 resources #
37,Green,A,2020-03-28 15:15:23,II,10,7472433,Green upgrades Agriculture to Irrigation#Green spends 2 resources #
38,Purple,B,2020-03-28 15:09:20,II,10,7472433,Purple upgrades Bronze to Iron#Purple spends 3 resources #
39,Grey,P,2020-03-28 15:02:26,II,9,7472433,Grey upgrades Philosophy to Alchemy#Grey spends 3 resources #
40,Green,W,2020-03-28 14:49:43,I,8,7472433,Green upgrades Warrior to Swordsmen#Green spends 1 resource #
41,Grey,P,2020-03-28 14:17:45,I,6,7472433,Grey upgrades Philosophy to Alchemy#Grey spends 3 resources #
42,Purple,A,2020-03-28 14:02:26,I,6,7472433,Purple upgrades Agriculture to Irrigation using Efficient Upgrade ##
43,Grey,R,2020-03-28 19:22:57,IV,22,7472433,Grey upgrades Religion to Theology#Grey spends 1 resource #
44,Grey,I,2020-03-28 19:22:50,IV,22,7472433,Grey upgrades Irrigation to Mechanized Agriculture#Grey spends 4 resources #
45,Grey,I,2020-03-28 19:22:15,IV,22,7472433,Grey upgrades Irrigation to Mechanized Agriculture#Grey spends 4 resources #
46,Green,B,2020-03-28 19:21:20,IV,22,7472433,Green upgrades Bronze to Coal#Green spends 6 resources #
47,Green,J,2020-03-28 19:21:09,IV,22,7472433,Green upgrades Journalism to Multimedia#Green spends 2 resources #
48,Green,J,2020-03-28 19:21:05,IV,22,7472433,Green upgrades Journalism to Multimedia#Green spends 2 resources #
49,Green,J,2020-03-28 19:21:00,IV,22,7472433,Green upgrades Journalism to Multimedia#Green spends 2 resources #
50,Green,J,2020-03-28 19:20:54,IV,22,7472433,Green upgrades Journalism to Multimedia#Green spends 2 resources #
51,Green,B,2020-03-28 19:00:22,III,20,7472433,Green upgrades Bronze to Coal#Green spends 6 resources #
52,Green,R,2020-03-28 18:59:31,III,20,7472433,Green upgrades Religion to Organized religion#Green spends 2 resources #
53,Orange,O,2020-03-28 18:51:39,III,20,7472433,Orange upgrades Opera to Movies#Orange spends 3 resources #
54,Grey,S,2020-03-28 18:49:29,III,19,7472433,Grey upgrades Scientific Method to Computers#Grey spends 2 resources #
55,Grey,S,2020-03-28 18:49:16,III,19,7472433,Grey upgrades Scientific Method to Computers#Grey spends 2 resources #
56,Grey,S,2020-03-28 18:49:11,III,19,7472433,Grey upgrades Scientific Method to Computers#Grey spends 2 resources #
57,Orange,O,2020-03-28 18:41:23,III,19,7472433,Orange upgrades Opera to Movies#Orange spends 3 resources #
58,Purple,P,2020-03-28 18:32:15,III,18,7472433,Purple upgrades Printing Press to Journalism#Purple spends 4 resources #
59,Purple,P,2020-03-28 18:32:10,III,18,7472433,Purple upgrades Printing Press to Journalism#Purple spends 4 resources #
60,Orange,D,2020-03-28 18:30:22,III,18,7472433,Orange upgrades Drama to Opera using Efficient Upgrade ##
61,Orange,O,2020-03-28 18:29:18,III,18,7472433,Orange upgrades Opera to Movies#Orange spends 3 resources #
62,Grey,B,2020-03-28 18:26:40,III,17,7472433,Grey upgrades Bronze to Oil using Efficient Upgrade #Grey spends 6 resources #
63,Purple,A,2020-03-28 18:22:57,III,17,7472433,Purple upgrades Agriculture to Irrigation#Purple spends 2 resources #
64,Orange,B,2020-03-28 18:19:57,III,17,7472433,Orange upgrades Bronze to Coal#Orange spends 6 resources #
