,time,age,round,game_id,text,attacker,war,target
0,2020-04-08 20:04:21,III,18,7472434,Orange declares War over Culture on Grey#The victor takes culture equal to the strength advantage from the defeated civilization. 3 military actions used #,Orange,Culture,Grey
1,2020-04-08 12:28:02,III,16,7472434,Green declares War over Resources on Purple#The victor takes a total number of resources/food equal to the strength advantage from the defeated civilization. 2 military actions used #,Green,Resources,Purple
2,2020-04-09 18:10:23,III,18,7473200,Orange declares War over Culture on Grey#The victor takes culture equal to the strength advantage from the defeated civilization. 3 military actions used #,Orange,Culture,Grey
3,2020-04-09 12:00:52,III,15,7473200,Purple declares War over Technology on Orange#The victor takes science equal to the strength advantage from the defeated civilization. Special (blue) technologies can be stolen instead equal to their cost. 2 military actions used #,Purple,Technology,Orange
4,2020-04-08 20:48:02,II,13,7473200,Orange declares War over Culture on Green#The victor takes culture equal to the strength advantage from the defeated civilization. 3 military actions used #,Orange,Culture,Green
5,2020-04-14 10:56:09,III,17,7473404,Orange declares War over Culture on Green#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Orange uses 3 military action #,Orange,Culture,Green
6,2020-04-22 15:20:16,III,18,7473814,Purple declares War over Culture on Grey#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Purple uses 3 military action #,Purple,Culture,Grey
7,2020-04-20 17:22:21,II,12,7473814,Green declares War over Territory on Orange#The victor takes 1 yellow token plus 1 yellow token for every 5 point of strength advantage from the defeated civilization's yellow bank. Green uses 2 military action #,Green,Territory,Orange
8,2020-04-29 10:46:59,III,17,7474472,Orange declares War over Culture on Grey#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Orange uses 3 military action #,Orange,Culture,Grey
9,2020-04-28 17:26:56,III,15,7474472,Green declares War over Culture on Grey#The victor takes 5 culture + 1 culture for each point of strength advantage from the defeated civilization. Green uses 3 military action #,Green,Culture,Grey
